Strategy,MR_lookback,MR_quantile,MR_long_short,MOM_lookback,MOM_long_short,MOM_neutral_band,trans_cost_bps,CAGR,Sharpe,Volatility,Max Drawdown,Win Rate,Avg Daily Turnover,MDD Start Index,MDD End Index,Start,End,Days
MOM,,,,63,false,0.0,0.0,0.03633583230493498,0.31522823985428855,0.1480949787211284,-0.5016968321172202,0.4793721070637955,0.09843666129898013,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,false,0.002,0.0,0.039506159381833106,0.33753006626722076,0.14677860324518044,-0.4955785032112129,0.47373717045683233,0.10083870101986045,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,false,0.005,0.0,0.036571500220990316,0.3178092441724983,0.14717293995962005,-0.49506911773643725,0.4668947474340914,0.10653180354267311,7,739,2000-03-31,2019-12-31,4969
MOM,,,,63,true,0.0,0.0,-0.06313143811593303,-0.45442824709763124,0.12594631710765058,-0.7646856157556093,0.4920507144294627,0.06807568438003221,7,4219,2000-03-31,2019-12-31,4969
MOM,,,,126,false,0.0,0.0,0.036525550152973096,0.3182630535099592,0.1465323754682931,-0.4917752276266938,0.48797390949857317,0.06992184845395855,84,687,2000-06-30,2019-12-31,4906
MOM,,,,126,false,0.002,0.0,0.03110294573444361,0.28252140024387074,0.1464801905439127,-0.5489229680455161,0.4861394211169996,0.07036017669045193,84,642,2000-06-30,2019-12-31,4906
MOM,,,,126,false,0.005,0.0,0.033417932284388385,0.2980228676016057,0.14627960013555424,-0.5660834376971611,0.4806359559722788,0.07227319062181448,84,641,2000-06-30,2019-12-31,4906
MOM,,,,126,true,0.0,0.0,-0.04383753571795446,-0.295418744220731,0.12508538022952068,-0.7035427270969159,0.5028536485935589,0.0471355759429154,19,4197,2000-06-30,2019-12-31,4906
MOM,,,,252,false,0.0,0.0,0.021879744176173777,0.22218370910504504,0.14494003728369925,-0.5663804997523358,0.49581589958158995,0.04792843691148776,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,false,0.002,0.0,0.025952875317175383,0.24977309352421104,0.14472816299288238,-0.5275881126238136,0.4949790794979079,0.04784473739275999,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,false,0.005,0.0,0.02225977456027506,0.22450261636469934,0.14536722438703648,-0.5476976893630231,0.49330543933054394,0.051625165655297484,0,2111,2000-12-29,2019-12-31,4780
MOM,,,,252,true,0.0,0.0,-0.043442368996157166,-0.30775254060289137,0.12051824619247659,-0.7023485478803151,0.49769874476987447,0.03414940364092906,0,2759,2000-12-29,2019-12-31,4780
MR,3,0.2,false,,,,0.0,0.1586696787208115,0.7290210335263372,0.24262176364116483,-0.4128882924069277,0.5200875099443119,0.49055102446787346,8,97,2000-01-06,2019-12-31,5028
MR,3,0.2,true,,,,0.0,0.09109272622878817,0.717451397783475,0.13410133149796588,-0.23197987325808223,0.5242641209228321,0.49482792918241497,85,98,2000-01-06,2019-12-31,5028
MR,3,0.4,false,,,,0.0,0.1598280799415932,0.8558080115054066,0.19561750237422035,-0.3278460147218769,0.5330151153540175,0.3486174656852994,1,108,2000-01-06,2019-12-31,5028
MR,3,0.4,true,,,,0.0,0.08267700076913687,0.8864659280900082,0.09468428494014877,-0.16260307012559172,0.5208830548926014,0.35329222200119353,323,430,2000-01-06,2019-12-31,5028
MR,5,0.2,false,,,,0.0,0.16257440431299353,0.7478926558853578,0.2402699147588006,-0.5813384543636992,0.5173099880620772,0.3920398009950249,5,191,2000-01-10,2019-12-31,5026
MR,5,0.2,true,,,,0.0,0.08242962286141742,0.6594480047780042,0.13374781007956585,-0.3159992674318869,0.5161161957819339,0.3872636815920398,91,197,2000-01-10,2019-12-31,5026
MR,5,0.4,false,,,,0.0,0.15763634176296004,0.8432670117636397,0.19662033738478008,-0.3662757161413138,0.5300437723836052,0.27741293532338307,0,42,2000-01-10,2019-12-31,5026
MR,5,0.4,true,,,,0.0,0.084332721877308,0.8848853348945431,0.09681162941999846,-0.16019292009999775,0.5103461997612415,0.2810945273631841,1313,1911,2000-01-10,2019-12-31,5026
MR,10,0.2,false,,,,0.0,0.165160161230274,0.7730471244168378,0.23325638512831462,-0.43664276803025825,0.5232025492929695,0.28306772908366534,83,186,2000-01-18,2019-12-31,5021
MR,10,0.2,true,,,,0.0,0.07735197530562399,0.6295903377786962,0.13227717797374441,-0.25191046230780634,0.5170284803823939,0.2799800796812749,1089,1677,2000-01-18,2019-12-31,5021
MR,10,0.4,false,,,,0.0,0.1602619803794456,0.8554373322310296,0.1964482582881907,-0.3434220646046865,0.5351523600876319,0.2061752988047809,0,187,2000-01-18,2019-12-31,5021
MR,10,0.4,true,,,,0.0,0.07073882027615452,0.7713933557084626,0.09439049329962043,-0.2557919423812257,0.5216092411870146,0.20637450199203186,83,186,2000-01-18,2019-12-31,5021
