TrainStartYear,TrainEndYear,TestYear,Strategy,MR_lookback,MR_quantile,MR_long_short,MOM_lookback,MOM_long_short,MOM_neutral_band,trans_cost_bps,Test_CAGR,Test_Sharpe,Test_Volatility,Test_Max Drawdown,Test_Win Rate,Test_Avg Daily Turnover,Test_MDD Start Index,Test_MDD End Index,Test_Start,Test_End,Test_Days
2000,2004,2005,MR,3,0.4,true,,,,0.0,0.03950590297549428,0.7365111980213895,0.05463945980002972,-0.029197119297632246,0.5220883534136547,0.3844086021505377,172,192,2005-01-06 05:00:00+00:00,2005-12-30 05:00:00+00:00,249
2001,2005,2006,MR,5,0.4,true,,,,0.0,0.024621029543264727,0.46285209636477515,0.05593210210726677,-0.037069300773443614,0.483739837398374,0.2938775510204082,23,66,2006-01-10 05:00:00+00:00,2006-12-29 05:00:00+00:00,246
2002,2006,2007,MR,10,0.4,true,,,,0.0,0.12016118444777146,2.0111912313442812,0.057248104535259456,-0.026864406057940493,0.5541666666666667,0.2203626220362622,173,185,2007-01-18 05:00:00+00:00,2007-12-28 05:00:00+00:00,240
2003,2007,2008,MR,10,0.4,false,,,,0.0,-0.031527167712293025,0.022484287252911947,0.27880706845123715,-0.2005233869605978,0.5537190082644629,0.2475795297372061,179,215,2008-01-16 05:00:00+00:00,2008-12-30 05:00:00+00:00,242
2004,2008,2009,MR,5,0.4,true,,,,0.0,0.11378133523516687,1.2703922812183726,0.08788486058078486,-0.0517833886482415,0.5284552845528455,0.3006802721088435,31,52,2009-01-09 05:00:00+00:00,2009-12-30 05:00:00+00:00,246
2005,2009,2010,MR,5,0.2,true,,,,0.0,0.1563008767400682,1.9359537031659388,0.07654784653071148,-0.05747407056893439,0.524390243902439,0.42448979591836733,164,240,2010-01-11 05:00:00+00:00,2010-12-30 05:00:00+00:00,246
2006,2010,2011,MR,5,0.2,true,,,,0.0,-0.04422554858873018,-0.45466153069861764,0.09048966682563007,-0.08263225513551575,0.4979757085020243,0.3943089430894309,6,141,2011-01-10 05:00:00+00:00,2011-12-30 05:00:00+00:00,247
2007,2011,2012,MR,5,0.2,true,,,,0.0,-0.11876995952662428,-1.4118365816634835,0.08686484768840971,-0.14527251905675787,0.4262295081967213,0.3436213991769547,8,179,2012-01-10 05:00:00+00:00,2012-12-28 05:00:00+00:00,244
2008,2012,2013,MR,5,0.2,true,,,,0.0,0.11819715848919699,1.4819564151122029,0.07742282954252701,-0.052540544519557364,0.5609756097560976,0.4448979591836735,144,245,2013-01-09 05:00:00+00:00,2013-12-30 05:00:00+00:00,246
2009,2013,2014,MR,10,0.2,false,,,,0.0,0.2700239936777966,2.147510712996293,0.1144025358563133,-0.07213467138233132,0.6639004149377593,0.32083333333333336,224,231,2014-01-16 05:00:00+00:00,2014-12-30 05:00:00+00:00,241
2010,2014,2015,MR,10,0.2,false,,,,0.0,-0.05531145688188155,-0.3322908271562473,0.14120006027022688,-0.16599422924616192,0.5311203319502075,0.30833333333333335,5,152,2015-01-16 05:00:00+00:00,2015-12-30 05:00:00+00:00,241
2011,2015,2016,MR,5,0.4,false,,,,0.0,0.19727856295727664,1.7604378022488094,0.1054645186566084,-0.04044247615887686,0.6761133603238867,0.3252032520325204,68,89,2016-01-11 05:00:00+00:00,2016-12-30 05:00:00+00:00,247
2012,2016,2017,MR,5,0.4,false,,,,0.0,0.13575693160180768,1.4940818175895545,0.08780346331845193,-0.08361021465443896,0.6626016260162602,0.30612244897959184,108,125,2017-01-10 05:00:00+00:00,2017-12-29 05:00:00+00:00,246
2013,2017,2018,MR,3,0.2,false,,,,0.0,0.07767201437042659,0.5047395306030252,0.18043307108426357,-0.12446321683277994,0.5870445344129555,0.4878048780487805,11,53,2018-01-05 05:00:00+00:00,2018-12-28 05:00:00+00:00,247
2014,2018,2019,MR,10,0.4,false,,,,0.0,0.3567403614867506,3.3110403204677405,0.09351437071884773,-0.05637128695537563,0.7012448132780082,0.2638888888888889,132,138,2019-01-16 05:00:00+00:00,2019-12-30 05:00:00+00:00,241
2015,2019,2020,MR,3,0.4,false,,,,0.0,0.2809470967430565,1.0638420632950043,0.26578404913157516,-0.14676416803453418,0.6265060240963856,0.3884408602150538,31,45,2020-01-07 05:00:00+00:00,2020-12-30 05:00:00+00:00,249
2016,2020,2021,MR,3,0.4,false,,,,0.0,0.13220409805700628,1.2935407931746172,0.09986324325068234,-0.07318100967855379,0.6814516129032258,0.38326585695006743,1,38,2021-01-07 05:00:00+00:00,2021-12-30 05:00:00+00:00,248
2017,2021,2022,MR,3,0.4,false,,,,0.0,0.1657442807999676,1.1014024805528406,0.14938013062332306,-0.08783132485126,0.6209677419354839,0.3778677462887989,0,44,2022-01-06 05:00:00+00:00,2022-12-30 05:00:00+00:00,248
2018,2022,2023,MR,3,0.4,false,,,,0.0,0.07931982941540561,0.7910144511885846,0.10327620343504451,-0.10843456663801965,0.6477732793522267,0.37262872628726285,139,187,2023-01-06 05:00:00+00:00,2023-12-29 05:00:00+00:00,247
2019,2023,2024,MR,3,0.4,false,,,,0.0,0.15921397435906504,1.671903674690723,0.09085342721096352,-0.07138531717269159,0.5967741935483871,0.388663967611336,179,243,2024-01-05 05:00:00+00:00,2024-12-30 05:00:00+00:00,248
