TrainStartYear,TrainEndYear,TestYear,Strategy,MR_lookback,MR_quantile,MR_long_short,MOM_lookback,MOM_long_short,MOM_neutral_band,trans_cost_bps,Test_CAGR,Test_Sharpe,Test_Volatility,Test_Max Drawdown,Test_Win Rate,Test_Avg Daily Turnover,Test_MDD Start Index,Test_MDD End Index,Test_Start,Test_End,Test_Days,Alpha_Daily,Alpha_Annual,Beta
2000,2004,2005,MR,3,0.4,true,,,,0.0,0.0395049355510253,0.7364916094064003,0.05463966456039611,-0.029198439428005707,0.5220883534136547,0.3844086021505377,172,192,2005-01-06 05:00:00+00:00,2005-12-30 05:00:00+00:00,249,NaN,NaN,NaN
2001,2005,2006,MR,5,0.4,true,,,,0.0,0.024622492207074576,0.4628781267370587,0.05593203262927194,-0.037068812730673084,0.483739837398374,0.2938775510204082,23,66,2006-01-10 05:00:00+00:00,2006-12-29 05:00:00+00:00,246,NaN,NaN,NaN
2002,2006,2007,MR,10,0.4,true,,,,0.0,0.12016089823047804,2.011182784832928,0.05724822118156294,-0.02686418616831676,0.5541666666666667,0.2203626220362622,173,185,2007-01-18 05:00:00+00:00,2007-12-28 05:00:00+00:00,240,NaN,NaN,NaN
2003,2007,2008,MR,10,0.4,false,,,,0.0,-0.03152649342566316,0.02248677120704531,0.27880707256988985,-0.20052319553062248,0.5537190082644629,0.2475795297372061,179,215,2008-01-16 05:00:00+00:00,2008-12-30 05:00:00+00:00,242,NaN,NaN,NaN
2004,2008,2009,MR,5,0.4,true,,,,0.0,0.11378063279220552,1.2703865846680493,0.087884750507622,-0.051783355424555366,0.5284552845528455,0.3006802721088435,31,52,2009-01-09 05:00:00+00:00,2009-12-30 05:00:00+00:00,246,NaN,NaN,NaN
2005,2009,2010,MR,5,0.2,true,,,,0.0,0.15630541549227694,1.9359965610850667,0.0765481943297012,-0.057472277136244365,0.524390243902439,0.42448979591836733,164,240,2010-01-11 05:00:00+00:00,2010-12-30 05:00:00+00:00,246,NaN,NaN,NaN
2006,2010,2011,MR,5,0.2,true,,,,0.0,-0.04422732869288826,-0.454681558400613,0.09048975778712814,-0.08263280831058017,0.4979757085020243,0.3943089430894309,6,141,2011-01-10 05:00:00+00:00,2011-12-30 05:00:00+00:00,247,NaN,NaN,NaN
2007,2011,2012,MR,5,0.2,true,,,,0.0,-0.11877093761568092,-1.4118491312995118,0.08686486000554561,-0.14527320495934393,0.4262295081967213,0.3436213991769547,8,179,2012-01-10 05:00:00+00:00,2012-12-28 05:00:00+00:00,244,NaN,NaN,NaN
2008,2012,2013,MR,5,0.2,true,,,,0.0,0.11819754382269765,1.481958820408048,0.07742294246804628,-0.052539827460545196,0.5609756097560976,0.4448979591836735,144,245,2013-01-09 05:00:00+00:00,2013-12-30 05:00:00+00:00,246,NaN,NaN,NaN
2009,2013,2014,MR,10,0.2,false,,,,0.0,0.2700215325505333,2.1475012978942227,0.11440211190137875,-0.07213408239446739,0.6639004149377593,0.32083333333333336,224,231,2014-01-16 05:00:00+00:00,2014-12-30 05:00:00+00:00,241,NaN,NaN,NaN
2010,2014,2015,MR,10,0.2,false,,,,0.0,-0.05530974554681933,-0.3322791357051199,0.14119972023941926,-0.16599332473302342,0.5311203319502075,0.30833333333333335,5,152,2015-01-16 05:00:00+00:00,2015-12-30 05:00:00+00:00,241,NaN,NaN,NaN
2011,2015,2016,MR,5,0.4,false,,,,0.0,0.19727870773705347,1.7604416469494506,0.10546434694419152,-0.04044299950180297,0.6761133603238867,0.3252032520325204,68,89,2016-01-11 05:00:00+00:00,2016-12-30 05:00:00+00:00,247,NaN,NaN,NaN
2012,2016,2017,MR,5,0.4,false,,,,0.0,0.13575713053698224,1.4940861053274814,0.08780332059542327,-0.08361017155373496,0.6626016260162602,0.30612244897959184,108,125,2017-01-10 05:00:00+00:00,2017-12-29 05:00:00+00:00,246,NaN,NaN,NaN
2013,2017,2018,MR,3,0.2,false,,,,0.0,0.07767312455050579,0.5047448237950707,0.1804333057324265,-0.12446209272532727,0.5870445344129555,0.4878048780487805,11,53,2018-01-05 05:00:00+00:00,2018-12-28 05:00:00+00:00,247,NaN,NaN,NaN
